"code","zone","number","address"
"VIII-47","VIII","47","Paseo de los Abedules no. 47"
"VIII-48","VIII","48","Paseo de los Abedules no. 48"
"VIII-49","VIII","49","Paseo de los Abedules no. 49"
"VIII-5","VIII","5","Paseo del Manantial no. 193"
"VIII-50","VIII","50","Paseo de los Abedules no. 50"
"VIII-6","VIII","6","Paseo del Manantial no. 191"
"VIII-7","VIII","7","Paseo del Manantial no. 189"
"VIII-8","VIII","8","Paseo del Manantial no. 187"
"VIII-9","VIII","9","Paseo del Manantial no. 185"
"X-1","X","1","Paseo del Manantial no. 141"
"X-10","X","10","Paseo del Manantial no. 123"
"X-11","X","11","Paseo del Manantial no. 121"
"X-12","X","12","Paseo del Manantial no. 119"
"X-2","X","2","Paseo del Manantial no. 139"
"X-3","X","3","Paseo del Manantial no. 137"
"X-4","X","4","Paseo del Manantial no. 135"
"X-5","X","5","Paseo del Manantial no. 133"
"X-6","X","6","Paseo del Manantial no. 131"
"X-7","X","7","Paseo del Manantial no. 129"
"X-8","X","8","Paseo del Manantial no. 127"
"X-9","X","9","Paseo del Manantial no. 125"
"XI-1","XI","1","Paseo de los Cedros no. 1"
"XI-10","XI","10","Paseo de los Cedros no. 10"
"XI-11","XI","11","Paseo de los Cedros no. 11"
"XI-12","XI","12","Paseo de los Cedros no. 12"
"XI-13","XI","13","Paseo de los Cedros no. 13"
"XI-14","XI","14","Paseo de los Cedros no. 14"
"XI-15","XI","15","Paseo de los Cedros no. 15"
"XI-16","XI","16","Paseo de los Cedros no. 16"
"XI-17","XI","17","Paseo de los Cedros no. 17"
"XI-18","XI","18","Paseo de los Cedros no. 18"
"XI-19","XI","19","Paseo de los Cedros no. 19"
"XI-2","XI","2","Paseo de los Cedros no. 2"
"XI-20","XI","20","Paseo de los Cedros no. 20"
"XI-21","XI","21","Paseo de los Cedros no. 21"
"XI-22","XI","22","Paseo de los Cedros no. 22"
"XI-23","XI","23","Paseo de los Cedros no. 23"
"XI-24","XI","24","Paseo de los Cedros no. 24"
"XI-25","XI","25","Paseo de los Cedros no. 25"
"XI-26","XI","26","Paseo de los Cedros no. 26"
"XI-27","XI","27","Paseo de los Cedros no. 27"
"XI-28","XI","28","Paseo de los Cedros no. 28"
"XI-29","XI","29","Paseo de los Cedros no. 29"
"XI-3","XI","3","Paseo de los Cedros no. 3"
"XI-30","XI","30","Paseo de los Cedros no. 30"
"XI-31","XI","31","Paseo de los Cedros no. 31"
"XI-32","XI","32","Paseo del Manantial no. 226"
"XI-4","XI","4","Paseo de los Cedros no. 4"
"XI-5","XI","5","Paseo de los Cedros no. 5"
"XI-6","XI","6","Paseo de los Cedros no. 6"
"XI-7","XI","7","Paseo de los Cedros no. 7"
"XI-8","XI","8","Paseo de los Cedros no. 8"
"XI-9","XI","9","Paseo de los Cedros no. 9"
"ADM-1","ADM","1","Administración"
"ADM-2","ADM","2","Tratamiento de agua"
"ADM-3","ADM","3","Otros"
