"code","zone","number","address"
"III-2","III","2","Paseo del Manantial no. 154"
"III-20","III","20","Paseo del Bosque no. 20"
"III-21","III","21","Paseo del Bosque no. 21"
"III-22","III","22","Paseo del Bosque no. 22"
"III-23","III","23","Paseo del Bosque no. 23"
"III-24","III","24","Paseo del Bosque no. 24"
"III-25","III","25","Paseo del Bosque no. 25"
"III-26","III","26","Paseo del Bosque no. 26"
"III-27","III","27","Paseo del Bosque no. 27"
"III-28","III","28","Paseo del Bosque no. 28"
"III-29","III","29","Paseo del Bosque no. 29"
"III-3","III","3","Paseo del Manantial no. 156"
"III-30","III","30","Paseo del Bosque no. 30"
"III-31","III","31","Paseo del Bosque no. 31"
"III-32","III","32","Paseo del Bosque no. 32"
"III-33","III","33","Paseo del Bosque no. 33"
"III-34","III","34","Paseo del Bosque no. 34"
"III-35","III","35","Paseo del Bosque no. 35"
"III-36","III","36","Paseo del Bosque no. 36"
"III-37","III","37","Paseo del Bosque no. 37"
"III-38","III","38","Paseo del Bosque no. 38"
"III-39","III","39","Paseo del Bosque no. 39"
"III-4","III","4","Paseo del Manantial no. 158"
"III-40","III","40","Paseo del Bosque no. 40"
"III-41","III","41","Paseo del Bosque no. 41"
"III-42","III","42","Paseo del Bosque no. 42"
"III-43","III","43","Paseo del Manantial no. 168"
"III-44","III","44","Paseo del Manantial no. 170"
"III-45","III","45","Paseo del Manantial no. 172"
"III-46","III","46","Paseo del Manantial no. 174"
"III-47","III","47","Paseo del Manantial no. 176"
"III-48","III","48","Paseo del Manantial no. 178"
"III-49","III","49","Paseo del Bosque no. 49"
"III-5","III","5","Paseo del Manantial no. 160"
"III-50","III","50","Paseo del Bosque no. 50"
"III-51","III","51","Paseo del Bosque no. 51"
"III-52","III","52","Paseo del Bosque no. 52"
"III-53","III","53","Paseo del Bosque no. 53"
"III-54","III","54","Paseo del Bosque no. 54"
"III-55","III","55","Paseo del Bosque no. 55"
"III-56","III","56","Paseo del Bosque no. 56"
"III-57","III","57","Paseo del Bosque no. 57"
"III-58","III","58","Paseo del Bosque no. 58"
"III-6","III","6","Paseo del Manantial no. 162"
"III-7","III","7","Paseo del Manantial no. 164"
"III-8","III","8","Paseo del Bosque no. 8"
"III-9","III","9","Paseo del Bosque no. 9"
"IV-1","IV","1","Paseo del Manantial no. 180"
"IV-10","IV","10","Paseo del Roble no. 10"
"IV-11","IV","11","#N/A"
"IV-12","IV","12","#N/A"
"IV-13","IV","13","#N/A"
"IV-14","IV","14","#N/A"
"IV-15","IV","15","#N/A"
"IV-16","IV","16","#N/A"
"IV-17","IV","17","#N/A"
"IV-18","IV","18","#N/A"
"IV-19","IV","19","#N/A"
"IV-2","IV","2","Paseo del Manantial no. 182"
"IV-20","IV","20","#N/A"
"IV-21","IV","21","#N/A"
"IV-22","IV","22","#N/A"
"IV-23","IV","23","Paseo del Roble no. 23"
"IV-24","IV","24","Paseo del Roble no. 24"
"IV-25","IV","25","Paseo del Roble no. 25"
"IV-26","IV","26","Paseo del Roble no. 26"
"IV-27","IV","27","Paseo del Roble no. 27"
"IV-28","IV","28","Paseo del Roble no. 28"
"IV-29","IV","29","Paseo del Roble no. 29"
"IV-3","IV","3","Paseo del Manantial no. 184"
"IV-30","IV","30","Paseo del Roble no. 30"
"IV-31","IV","31","Paseo del Roble no. 31"
"IV-32","IV","32","Paseo del Roble no. 32"
"IV-34","IV","34","Paseo del Roble no. 34"
"IV-35","IV","35","Paseo del Roble no. 35"
"IV-36","IV","36","Paseo del Roble no. 36"
"IV-37","IV","37","Paseo del Roble no. 37"
"IV-38","IV","38","Paseo del Roble no. 38"
"IV-39","IV","39","Paseo del Roble no. 39"
"IV-4","IV","4","Paseo del Manantial no. 186"
"IV-40","IV","40","Paseo del Roble no. 40"
"IV-41","IV","41","Paseo del Roble no. 41"
"IV-42","IV","42","Paseo del Roble no. 42"
"IV-43","IV","43","Paseo del Roble no. 43"
"IV-44","IV","44","Paseo del Roble no. 44"
"IV-45","IV","45","Paseo del Roble no. 45"
"IV-46","IV","46","Paseo del Roble no. 46"
"IV-47","IV","47","Paseo del Manantial no. 202"
"IV-48","IV","48","Paseo del Manantial no. 200"
"IV-49","IV","49","Paseo del Roble no. 49"
"IV-5","IV","5","Paseo del Manantial no. 188"
"IV-50","IV","50","Paseo del Roble no. 50"
"IV-51","IV","51","Paseo del Roble no. 51"
"IV-52","IV","52","Paseo del Roble no. 52"
"IV-53","IV","53","Paseo del Roble no. 53"
"IV-54","IV","54","Paseo del Roble no. 54"
"IV-55","IV","55","Paseo del Roble no. 55"
"IV-56","IV","56","Paseo del Roble no. 56"
"IV-57","IV","57","Paseo del Roble no. 57"
"IV-58","IV","58","Paseo del Roble no. 58"
"IV-59","IV","59","Paseo del Roble no. 59"
"IV-6","IV","6","Paseo del Manantial no. 190"
"IV-60","IV","60","Paseo del Roble no. 60"
"IV-7","IV","7","Paseo del Manantial no. 192"
"IV-8","IV","8","Paseo del Manantial no. 194"
"IV-9","IV","9","Paseo del Manantial no. 196"
"IX-1","IX","1","Paseo del Manantial no. 175"
"IX-10","IX","10","Paseo del Manantial no. 157"
"IX-11","IX","11","Paseo del Manantial no. 155"
"IX-12","IX","12","Paseo del Manantial no. 153"
"IX-13","IX","13","Paseo del Manantial no. 151"
"IX-14","IX","14","Paseo del Manantial no. 149"
"IX-15","IX","15","Paseo del Alamo no. 15"
"IX-16","IX","16","Paseo del Alamo no. 16"
"IX-17","IX","17","Paseo del Alamo no. 17"
"IX-18","IX","18","Paseo del Alamo no. 18"
